generation_id,generation_label,model,variant_name,year,body_style,drivetrain,comp_count,tier
964,964,911,"Carrera 4",1989,Coupe,awd,0,critical
964,964,911,"Carrera 2",1990,Coupe,rwd,0,critical
964,964,911,"Carrera 4",1990,Coupe,awd,0,critical
964,964,911,"Carrera 2",1991,Coupe,rwd,0,critical
964,964,911,"Carrera 4",1991,Coupe,awd,0,critical
964,964,911,"Turbo 3.3",1991,Coupe,rwd,0,critical
964,964,911,"Carrera 2",1992,Coupe,rwd,0,critical
964,964,911,"Carrera 4",1992,Coupe,awd,0,critical
964,964,911,"Carrera RS (Europe)",1992,Coupe,rwd,1,critical
964,964,911,"Turbo 3.3",1992,Coupe,rwd,0,critical
964,964,911,"Turbo S Leichtbau",1992,Coupe,rwd,0,critical
964,964,911,"30 Jahre Anniversary",1993,Coupe,awd,0,critical
964,964,911,"Carrera 2",1993,Coupe,rwd,0,critical
964,964,911,"Carrera 4",1993,Coupe,awd,0,critical
964,964,911,"RS America",1993,Coupe,rwd,0,critical
964,964,911,"Speedster",1993,Speedster,rwd,0,critical
964,964,911,"Turbo 3.6",1993,Coupe,rwd,0,critical
964,964,911,"Carrera 2",1994,Coupe,rwd,0,critical
964,964,911,"Carrera 4",1994,Coupe,awd,0,critical
964,964,911,"RS America",1994,Coupe,rwd,0,critical
964,964,911,"Speedster",1994,Speedster,rwd,0,critical
964,964,911,"Turbo 3.6",1994,Coupe,rwd,2,critical
964,964,911,"Turbo 3.6 S (Flachbau and Package)",1994,Coupe,rwd,1,critical
993,993,911,"Carrera (pre-Varioram)",1995,Coupe,rwd,26,sufficient
993,993,911,"Carrera 4",1995,Coupe,awd,3,critical
993,993,911,"Carrera RS",1995,Coupe,rwd,2,critical
993,993,911,"GT2",1995,Coupe,rwd,0,critical
993,993,911,"Carrera (Varioram)",1996,Coupe,rwd,20,sufficient
993,993,911,"Carrera 4",1996,Coupe,awd,3,critical
993,993,911,"Carrera 4S",1996,Coupe,awd,11,warning
993,993,911,"Carrera RS",1996,Coupe,rwd,1,critical
993,993,911,"GT2",1996,Coupe,rwd,0,critical
